column,total,missing,missing_pct
family,1067313,310485,0.290903418210028
genus,1067313,310485,0.290903418210028
species,1067313,310485,0.290903418210028
Species_In_LCA,1067313,310485,0.290903418210028
Sources,1067313,310485,0.290903418210028
X.ID,1067313,310485,0.290903418210028
assay_name,1067313,255082,0.238994559234264
tot_depth_water_col,1067313,250070,0.234298654658943
nucl_acid_ext_lysis,1067313,235632,0.220771226434982
nucl_acid_ext_sep,1067313,235632,0.220771226434982
filter_diameter,1067313,215161,0.201591285780273
filter_material,1067313,215161,0.201591285780273
samp_collect_device,1067313,168603,0.157969592799863
geo_loc_name,1067313,136574,0.127960588880675
minimumDepthInMeters,1067313,96612,0.0905189012033021
verbatimEventTime,1067313,84231,0.0789187426743608
size_frac,1067313,78587,0.0736306968995974
samp_size,1067313,50870,0.0476617449614124
samp_size_unit,1067313,50870,0.0476617449614124
biological_rep,1067313,46288,0.0433687212654582
verbatimEventDate,1067313,45195,0.0423446542860436
filter_device,1067313,33912,0.0317732473979048
tube_id,1067313,33075,0.0309890350815553
env_broad_scale,1067313,31793,0.0297878879016746
env_medium,1067313,31793,0.0297878879016746
verbatimLatitude,1067313,31476,0.029490880369676
verbatimLongitude,1067313,31324,0.0293484666634811
maximumDepthInMeters,1067313,9960,0.00933184548487651
decimalLongitude,1067313,6609,0.00619218542264547
decimalLatitude,1067313,6609,0.00619218542264547
site_id,1067313,1282,0.00120114717988069
ASV,1067313,0,0
sample,1067313,0,0
count,1067313,0,0
ASV_sequence,1067313,0,0
samp_category,1067313,0,0
eventDate,1067313,0,0
use_for_filter,1067313,0,0
Voyage,1067313,0,0
Assay,1067313,0,0
Year,1067313,0,0
Location,1067313,0,0
deeporcore,1067313,0,0
Location_Year,1067313,0,0
